Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight
Laramie County Library System,2200 Pioneer Ave Cheyenne WY 82001-3610,US,Library Mail,6.56,5 lbs 
Sno-Isle Libraries,7312 35th Ave NE Tulalip WA 98271-7417,US,Library Mail,9.40,8 lbs 0.60 oz
Ellsworth Public Library,388 W Main St Ellsworth WI 54011-5163,US,Library Mail,3.72,1 lbs 
Iona College,715 North Ave New Rochelle NY 10801-1830,US,Library Mail,3.72,1 lbs 
Illinois EPA,1021 E North Grand Ave Springfield IL 62702-4059,US,Library Mail,3.72,1 lbs 
Denver Public Library,10 W 14th Avenue Pkwy Denver CO 80204-2731,US,Library Mail,3.72,1 lbs 
Marshall Public Library,113 S Garfield Ave Pocatello ID 83204-3235,US,Library Mail,3.72,1 lbs 
"California State University, Fresno","5200 N Barton Ave,, MSC ML34 Fresno CA 93740-8014",US,Library Mail,3.72,1 lbs 
Wayne State University Libraries,5150 Anthony Wayne Dr Detroit MI 48202-3904,US,Library Mail,3.72,1 lbs 
Cambridge Public Library,449 Broadway Cambridge MA 02138-4191,US,Library Mail,4.43,1 lbs 3.70 oz
McChord Library,851 Lincoln Blvd Ground Floor Joint Base Lewis McChord WA 98438-1317,US,Library Mail,4.43,1 lbs 9 oz
St Charles City-County Library District,PO Box 529 77 Boone Hills Dr Saint Peters MO 63376-0091,US,Library Mail,4.43,1 lbs 5.90 oz
Purdue University Libraries,504 Mitch Daniels Blvd West Lafayette IN 47907-2058,US,Library Mail,4.43,1 lbs 10.10 oz
Stanley Tubbs Memorial Library,101 E Cherokee Ave Sallisaw OK 74955-4621,US,Library Mail,4.43,1 lbs 4.30 oz
Pace University,1 Pace Plz New York NY 10038-1598,US,Library Mail,4.43,1 lbs 9.20 oz
Spartanburg County Public Library,151 S Church St Spartanburg SC 29306-3241,US,Library Mail,4.43,2 lbs 
Anacortes Public Library,1220 10th St Anacortes WA 98221-1988,US,Library Mail,4.43,2 lbs 
Boise State University,PO Box 46 Boise ID 83707-0046,US,Library Mail,4.43,2 lbs 
St Mary's College Library,"1928 Saint Marys Rd, # 4290 Moraga CA 94575-2744",US,Library Mail,6.56,4 lbs 7.30 oz
Idaho State University,"921 S 8th Ave, MSC 8089 Pocatello ID 83209-8089",US,Library Mail,6.56,4 lbs 7.30 oz
Salt Lake City Public Library,210 E 400 S Salt Lake City UT 84111-2804,US,Library Mail,7.27,5 lbs 8.10 oz
Canal Fulton Public Library ,154 Market St NE Canal Fulton OH 44614,US,Library Mail,3.72,1 lbs 
Adams State University,"208 Edgemont Blvd, Ste 4010 Alamosa CO 81101-2863",US,Library Mail,3.72,1 lbs 
C. W. Clark Memorial Library,PO Box 397 160 N Main St Oriskany Falls NY 13425-0397,US,Library Mail,3.72,1 lbs 
NCCO Libraries,77 Reads Way New Castle DE 19720-1648,US,Library Mail,3.72,1 lbs 
Ohio State University Libraries,1858 Neil Ave Columbus OH 43210-1225,US,Library Mail,3.72,1 lbs 
Ames Public Library,515 Douglas Ave Ames IA 50010-6291,US,Library Mail,3.72,1 lbs 
Fort Bend County Libraries,1001 Golfview Dr Richmond TX 77469-5141,US,Library Mail,3.72,1 lbs 
Choteau/Teton Public Library,PO Box 876 17 N Main Ave Choteau MT 59422-0876,US,Library Mail,3.72,1 lbs 
Menasha Public Library,440 1st St Menasha WI 54952-3143,US,Library Mail,3.72,1 lbs 
St Louis Public Library,1415 Olive St Saint Louis MO 63103-2389,US,Library Mail,3.72,1 lbs 
Bozeman Public Library,626 E Main St Bozeman MT 59715-3953,US,Library Mail,3.72,1 lbs 
"University of California, San Diego","9500 Gilman Dr, # 0175A La Jolla CA 92093-0175",US,Library Mail,3.72,1 lbs 
SUNY College at Fredonia,280 Central Ave Fredonia NY 14063-1127,US,Library Mail,3.72,1 lbs 
Old Dominion University,4427 Hampton Blvd Norfolk VA 23508-1817,US,Library Mail,3.72,1 lbs 
University of Montana,32 Campus Dr Missoula MT 59812-9936,US,Library Mail,3.72,1 lbs 
University of Wisconsin-Superior,PO Box 2000 801 N. 28th St Superior WI 54880-4500,US,Library Mail,3.72,1 lbs 
Madison Public Library,201 W Mifflin St Madison WI 53703-2597,US,Library Mail,3.72,1 lbs 
Park Ridge Public Library,20 S Prospect Ave Park Ridge IL 60068-4188,US,Library Mail,3.72,1 lbs 
Baltimore County Public Library,320 York Rd Towson MD 21204-5179,US,Library Mail,3.72,1 lbs 
